player,position,xT_total,actions,apps,xT_perAction,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,team,league,league_id,season,season_id,team_id,player_id,matches
Jeremy Doku,D M S,11.86658162999997,217,29,0.054684707972350095,1616.0,3.0,3.76985201984644,3.0,3.76985201984644,8.0,5.476052410900593,56.0,45.0,3.0,0.0,14.622362297028303,7.702265929430723,Manchester City,ENG-Premier League,1.0,2324,2023.0,88.0,8981.0,29.0
Michail Antonio,F S,3.1460518199999905,70,25,0.04494359742857129,1775.0,6.0,6.025665767490864,6.0,6.025665767490864,2.0,1.559285182505846,30.0,9.0,6.0,0.0,8.23398894816637,2.5248712673783302,West Ham,ENG-Premier League,1.0,2324,2023.0,81.0,531.0,26.0
Eddie Nketiah,F S,2.056991599999996,46,23,0.044717208695652086,1036.0,5.0,5.057408779859543,5.0,5.057408779859543,2.0,1.209644090384245,38.0,9.0,3.0,0.0,5.851144388318062,0.9911122377961874,Arsenal,ENG-Premier League,1.0,2324,2023.0,83.0,6482.0,27.0
Cameron Archer,F M S,4.043789109999988,95,28,0.04256620115789461,1870.0,4.0,5.785084556788206,4.0,5.785084556788206,1.0,2.983854740858078,41.0,24.0,2.0,0.0,9.17532782163471,1.594775709323585,Aston Villa,ENG-Premier League,1.0,2324,2023.0,71.0,9912.0,30.0
Adama Traore,M S,5.004570029999986,118,27,0.04241161042372869,310.0,2.0,1.4920614697039127,2.0,1.4920614697039127,3.0,0.7020887192338705,11.0,7.0,2.0,0.0,1.841224255040288,0.1951187644153833,Fulham,ENG-Premier League,1.0,2324,2023.0,228.0,900.0,17.0
Elijah Adebayo,F M S,2.5330213799999926,60,26,0.042217022999999874,1422.0,10.0,6.630781220272183,10.0,6.630781220272183,0.0,0.8136616554111242,31.0,14.0,1.0,0.0,8.281278105452657,1.9411640595644712,Luton,ENG-Premier League,1.0,2324,2023.0,256.0,11718.0,27.0
Erling Haaland,F S,3.5749673699999924,85,31,0.042058439647058736,2581.0,27.0,31.65399668365717,20.0,25.56464628130197,5.0,4.7517555598169565,122.0,29.0,1.0,0.0,30.19725350290537,3.128645434975624,Manchester City,ENG-Premier League,1.0,2324,2023.0,88.0,8260.0,31.0
Jamie Vardy,,8.005010319999982,192,69,0.041692762083333244,,,,,,,,,,,,,,,,,2324,,,,
Ollie Watkins,F,6.374240819999986,153,37,0.041661704705882256,3250.0,19.0,19.26459836959839,19.0,19.26459836959839,13.0,7.745744535699487,106.0,45.0,4.0,0.0,29.22941774129868,5.899641819298267,Aston Villa,ENG-Premier League,1.0,2324,2023.0,71.0,8865.0,37.0
Darwin Nunez,F S,5.915892649999986,144,35,0.04108258784722212,2037.0,11.0,19.187851031310856,11.0,18.42668213415891,8.0,5.950456521473825,108.0,33.0,9.0,0.0,25.07862750068307,5.313199203461409,Liverpool,ENG-Premier League,1.0,2324,2023.0,87.0,10720.0,36.0
