player,team,league,season,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
Aaron Ramsey,Arsenal,ENG-Premier League,1516,1,2015,83,504,M S,31,2624,5,8.614322556182742,5,8.614322556182742,4,4.046241706237197,69,37,4,0,23.282566286623478,14.17644389718771
Alex Iwobi,Arsenal,ENG-Premier League,1516,1,2015,83,500,M S,13,639,2,1.5485198199748993,2,1.5485198199748993,2,1.5110217109322548,15,12,0,0,5.324223689734936,3.206701472401619
Alex Oxlade-Chamberlain,Arsenal,ENG-Premier League,1516,1,2015,83,966,M S,22,911,1,1.5034727901220322,1,1.5034727901220322,0,1.8971569072455168,23,19,0,0,6.139448795467615,3.601579638198018
Alexis Sanchez,Arsenal,ENG-Premier League,1516,1,2015,83,498,M S,30,2463,13,13.104378208518028,13,13.104378208518028,4,8.5547467879951,107,62,1,0,27.01940680295229,11.864848758094013
Calum Chambers,Arsenal,ENG-Premier League,1516,1,2015,83,508,D M S,12,299,0,0.13632500171661377,0,0.13632500171661377,0,0.20185689628124237,2,2,2,0,1.2246594913303852,0.991853591054678
Danny Welbeck,Arsenal,ENG-Premier League,1516,1,2015,83,501,F M S,11,581,4,2.9756076019257307,4,2.9756076019257307,2,0.760790191590786,20,7,1,0,3.8843194730579853,1.0047504883259535
David Ospina,Arsenal,ENG-Premier League,1516,1,2015,83,505,GK,4,360,0,0.0,0,0.0,0,0.0,0,0,0,0,0.03578979894518852,0.03578979894518852
Francis Coquelin,Arsenal,ENG-Premier League,1516,1,2015,83,497,M S,26,1652,0,0.15509640332311392,0,0.15509640332311392,0,0.34837569296360016,8,6,5,1,10.673911213874817,10.341711435467005
Gabriel,Arsenal,ENG-Premier League,1516,1,2015,83,493,D S,21,1761,1,0.9500337094068527,1,0.9500337094068527,0,0.044633898884058,11,1,4,1,6.478983839973807,6.478983839973807
Hector Bellerin,Arsenal,ENG-Premier League,1516,1,2015,83,492,D,36,3240,1,0.7077546939253807,1,0.7077546939253807,5,4.75375734642148,13,24,3,0,17.708984507247806,14.370255900546908
Jack Wilshere,Arsenal,ENG-Premier League,1516,1,2015,83,1036,M S,3,141,0,0.31812000274658203,0,0.31812000274658203,0,0.11653199791908264,1,1,0,0,0.8949851989746094,0.460332989692688
Joel Campbell,Arsenal,ENG-Premier League,1516,1,2015,83,506,M S,19,891,3,2.59413100220263,3,2.59413100220263,2,2.8309967815876007,19,13,0,0,7.517784925177693,3.5691321585327387
Kieran Gibbs,Arsenal,ENG-Premier League,1516,1,2015,83,545,D M S,15,367,1,0.5577400848269463,1,0.5577400848269463,0,0.04064770042896271,5,1,0,0,1.0849711149930954,0.48658449575304985
