name,weekly_gross_gbp,annual_gross_gbp,adjusted_gross_gbp,position,age,country,club,season,league,verified,bonus_gross_gbp,signed,expiration,years,total_gross_gbp,release_gbp,status,position_detail,active
Yannick Bolasie,75000,3900000,"£ 4,208,960",F,31,Democratic Republic of the Congo,Middlesbrough,2020-2021,championship,,,,,,,,,,
Andre Ayew,75000,3900000,"£ 4,208,960",F,30,Ghana,Swansea,2020-2021,championship,,,,,,,,,,
Asmir Begovic,70000,3640000,"£ 3,928,363",K,33,Bosnia-Herzegovina,Bournemouth,2020-2021,championship,,,,,,,,,,
Charlie Austin,70000,3640000,"£ 3,928,363",F,31,England,QPR,2020-2021,championship,,,,,,,,,,
Joshua King,65000,3380000,"£ 3,647,765",F,28,Norway,Bournemouth,2020-2021,championship,,,,,,,,,,
Ismaila Sarr,63077,3280000,"£ 3,539,843",F,22,Senegal,Watford,2020-2021,championship,,,,,,,,,,
Andre Gray,63077,3280000,"£ 3,539,843",F,29,England,Watford,2020-2021,championship,,,,,,,,,,
Shane Long,60000,3120000,"£ 3,367,168",F,34,Ireland,Bournemouth,2020-2021,championship,,,,,,,,,,
Joe Allen,57500,2990000,"£ 3,226,869",M,30,Wales,Stoke City,2020-2021,championship,,,,,,,,,,
Troy Deeney,55000,2860000,"£ 3,086,571",F,32,England,Watford,2020-2021,championship,,,,,,,,,,
Jefferson Lerma,55000,2860000,"£ 3,086,571",M,25,Colombia,Bournemouth,2020-2021,championship,,,,,,,,,,
Jack Wilshere,50000,2600000,"£ 2,805,973",M,29,England,Bournemouth,2020-2021,championship,,,,,,,,,,
Ryan Shawcross,50000,2600000,"£ 2,805,973",D,33,England,Stoke City,2020-2021,championship,,,,,,,,,,
Wayne Rooney,50000,2600000,"£ 2,805,973",F,34,England,Derby County,2020-2021,championship,,,,,,,,,,
Steve Cook,45000,2340000,"£ 2,525,376",D,29,England,Bournemouth,2020-2021,championship,,,,,,,,,,
Tom Cleverley,45000,2340000,"£ 2,525,376",M,31,England,Watford,2020-2021,championship,,,,,,,,,,
Etienne Capoue,40000,2080000,"£ 2,244,779",M,32,France,Watford,2020-2021,championship,,,,,,,,,,
Philip Billing,40000,2080000,"£ 2,244,779",M,24,Denmark,Bournemouth,2020-2021,championship,,,,,,,,,,
Ben Gibson,40000,2080000,"£ 2,244,779",D,27,England,Norwich,2020-2021,championship,,,,,,,,,,
Anthony Knockaert,37500,1950000,"£ 2,104,480",F,28,France,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Kevin Wimmer,37500,1950000,"£ 2,104,480",D,27,Austria,Stoke City,2020-2021,championship,,,,,,,,,,
Nathaniel Chalobah,35000,1820000,"£ 1,964,181",M,25,England,Watford,2020-2021,championship,,,,,,,,,,
Dan Gosling,35000,1820000,"£ 1,964,181",M,31,England,Watford,2020-2021,championship,,,,,,,,,,
Jordan Rhodes,35000,1820000,"£ 1,964,181",F,30,Scotland,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Britt Assombalonga,35000,1820000,"£ 1,964,181",F,27,Democratic Republic of the Congo,Middlesbrough,2020-2021,championship,,,,,,,,,,
Sam Clucas,35000,1820000,"£ 1,964,181",M,30,England,Stoke City,2020-2021,championship,,,,,,,,,,
Diego Rico,35000,1820000,"£ 1,964,181",D,27,Spain,Bournemouth,2020-2021,championship,,,,,,,,,,
Dan Gosling,35000,1820000,"£ 1,964,181",M,30,England,Bournemouth,2020-2021,championship,,,,,,,,,,
Arnaut Danjuma,35000,1820000,"£ 1,964,181",F,23,Netherlands,Bournemouth,2020-2021,championship,,,,,,,,,,
Adam Smith,35000,1820000,"£ 1,964,181",D,29,England,Bournemouth,2020-2021,championship,,,,,,,,,,
Sheyi Ojo,32500,1690000,"£ 1,823,883",F,23,England,Cardiff,2020-2021,championship,,,,,,,,,,
Glenn Murray,32500,1690000,"£ 1,823,883",F,37,England,Watford,2020-2021,championship,,,,,,,,,,
John Mikel Obi,32500,1690000,"£ 1,823,883",M,33,Nigeria,Stoke City,2020-2021,championship,,,,,,,,,,
Tom Ince,32500,1690000,"£ 1,823,883",F,29,England,Luton Town,2020-2021,championship,,,,,,,,,,
Tom Ince,32500,1690000,"£ 1,823,883",F,28,England,Stoke City,2020-2021,championship,,,,,,,,,,
Glenn Murray,32500,1690000,"£ 1,823,883",F,37,England,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Alfie Mawson,31923,1660000,"£ 1,791,506",D,26,England,Bristol,2020-2021,championship,,,,,,,,,,
Lloyd Kelly,30000,1560000,"£ 1,683,584",D,22,England,Bournemouth,2020-2021,championship,,,,,,,,,,
Lewis Cook,30000,1560000,"£ 1,683,584",M,23,England,Bournemouth,2020-2021,championship,,,,,,,,,,
Jack Stacey,30000,1560000,"£ 1,683,584",D,24,England,Bournemouth,2020-2021,championship,,,,,,,,,,
Conor Hourihane,30000,1560000,"£ 1,683,584",M,30,Ireland,Swansea,2020-2021,championship,,,,,,,,,,
Luke Freeman,30000,1560000,"£ 1,683,584",F,28,England,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Keiren Westwood,30000,1560000,"£ 1,683,584",K,35,Ireland,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Alex Smithies,30000,1560000,"£ 1,683,584",K,30,England,Cardiff,2020-2021,championship,,,,,,,,,,
Christian Kabasele,30000,1560000,"£ 1,683,584",D,29,Belgium,Watford,2020-2021,championship,,,,,,,,,,
Sam Byram,30000,1560000,"£ 1,683,584",D,27,England,Norwich,2020-2021,championship,,,,,,,,,,
Ben Foster,30000,1560000,"£ 1,683,584",K,37,England,Watford,2020-2021,championship,,,,,,,,,,
Sam Vokes,30000,1560000,"£ 1,683,584",F,31,Wales,Stoke City,2020-2021,championship,,,,,,,,,,
Chris Mepham,30000,1560000,"£ 1,683,584",D,22,Wales,Bournemouth,2020-2021,championship,,,,,,,,,,
Tom Lawrence,30000,1560000,"£ 1,683,584",F,26,Wales,Derby County,2020-2021,championship,,,,,,,,,,
Leandro Bacuna,27500,1430000,"£ 1,543,285",M,29,Curacao,Cardiff,2020-2021,championship,,,,,,,,,,
Lewis Grabban,27500,1430000,"£ 1,543,285",F,32,Jamaica,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Tom Lees,27500,1430000,"£ 1,543,285",D,29,England,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Liam Moore,27500,1430000,"£ 1,543,285",D,27,England,Reading,2020-2021,championship,,,,,,,,,,
William Troost-Ekong,27500,1430000,"£ 1,543,285",D,27,Nigeria,Watford,2020-2021,championship,,,,,,,,,,
Isaac Success,26923,1400000,"£ 1,510,909",F,24,Nigeria,Watford,2020-2021,championship,,,,,,,,,,
Will Hughes,26923,1400000,"£ 1,510,909",M,25,England,Watford,2020-2021,championship,,,,,,,,,,
Adam Masina,26923,1400000,"£ 1,510,909",D,26,Italy,Watford,2020-2021,championship,,,,,,,,,,
Mikel San Jose,26538,1380000,"£ 1,489,324",M,31,Spain,Birmingham,2020-2021,championship,,,,,,,,,,
Curtis Davies,25000,1300000,"£ 1,402,987",D,35,England,Derby County,2020-2021,championship,,,,,,,,,,
Christopher Schindler,25000,1300000,"£ 1,402,987",D,30,Germany,Huddersfield,2020-2021,championship,,,,,,,,,,
Kiko Femenia,25000,1300000,"£ 1,402,987",D,29,Spain,Watford,2020-2021,championship,,,,,,,,,,
Kenny McLean,25000,1300000,"£ 1,402,987",M,28,Scotland,Norwich,2020-2021,championship,,,,,,,,,,
Jonathan Howson,25000,1300000,"£ 1,402,987",M,32,England,Middlesbrough,2020-2021,championship,,,,,,,,,,
Marco Stiepermann,25000,1300000,"£ 1,402,987",F,29,Germany,Norwich,2020-2021,championship,,,,,,,,,,
David Brooks,25000,1300000,"£ 1,402,987",F,23,Wales,Bournemouth,2020-2021,championship,,,,,,,,,,
Dominic Solanke,25000,1300000,"£ 1,402,987",F,23,England,Bournemouth,2020-2021,championship,,,,,,,,,,
Junior Stanislas,25000,1300000,"£ 1,402,987",F,30,England,Bournemouth,2020-2021,championship,,,,,,,,,,
David Raya,25000,1300000,"£ 1,402,987",K,25,Spain,Brentford,2020-2021,championship,,,,,,,,,,
Pontus Jansson,25000,1300000,"£ 1,402,987",D,29,Sweden,Brentford,2020-2021,championship,,,,,,,,,,
Emiliano Buendia,25000,1300000,"£ 1,402,987",F,23,Argentina,Norwich,2020-2021,championship,,,,,,,,,,
Jack Clarke,25000,1300000,"£ 1,402,987",F,20,England,Stoke City,2020-2021,championship,,,,,,,,,,
Badou Ndiaye,25000,1300000,"£ 1,402,987",M,30,Senegal,Stoke City,2020-2021,championship,,,,,,,,,,
Tomas Kalas,25000,1300000,"£ 1,402,987",D,27,Czech Republic,Bristol,2020-2021,championship,,,,,,,,,,
Oliver Skipp,25000,1300000,"£ 1,402,987",M,20,England,Norwich,2020-2021,championship,,,,,,,,,,
Josh Murphy,25000,1300000,"£ 1,402,987",F,25,England,Cardiff,2020-2021,championship,,,,,,,,,,
Junior Hoilett,25000,1300000,"£ 1,402,987",F,30,Canada,Cardiff,2020-2021,championship,,,,,,,,,,
Sean Morrison,25000,1300000,"£ 1,402,987",D,29,England,Cardiff,2020-2021,championship,,,,,,,,,,
Teemu Pukki,25000,1300000,"£ 1,402,987",F,30,Finland,Norwich,2020-2021,championship,,,,,,,,,,
Tim Krul,25000,1300000,"£ 1,402,987",K,32,Netherlands,Norwich,2020-2021,championship,,,,,,,,,,
Todd Cantwell,25000,1300000,"£ 1,402,987",M,22,England,Norwich,2020-2021,championship,,,,,,,,,,
John Swift,25000,1300000,"£ 1,402,987",M,25,England,Reading,2020-2021,championship,,,,,,,,,,
Carl Jenkinson,25000,1300000,"£ 1,402,987",D,28,England,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Marcus Bettinelli,24423,1270000,"£ 1,370,610",K,28,England,Middlesbrough,2020-2021,championship,,,,,,,,,,
Joe Ralls,24423,1270000,"£ 1,370,610",M,27,England,Cardiff,2020-2021,championship,,,,,,,,,,
Barry Bannan,24038,1250000,"£ 1,349,026",M,30,Scotland,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Angus Gunn,24038,1250000,"£ 1,349,026",K,24,England,Stoke City,2020-2021,championship,,,,,,,,,,
