name,weekly_gross_gbp,annual_gross_gbp,adjusted_gross_gbp,position,age,country,club,season,league,verified,bonus_gross_gbp,signed,expiration,years,total_gross_gbp,release_gbp,status,position_detail,active
Craig Cathcart,23462,1220000,"£ 1,316,649",D,31,Northern Ireland,Watford,2020-2021,championship,,,,,,,,,,
Andre Wisdom,23462,1220000,"£ 1,316,649",D,27,England,Derby County,2020-2021,championship,,,,,,,,,,
Max Aarons,22500,1170000,"£ 1,262,688",D,20,England,Norwich,2020-2021,championship,,,,,,,,,,
Andreas Weimann,22500,1170000,"£ 1,262,688",F,29,Austria,Bristol,2020-2021,championship,,,,,,,,,,
Josip Drmic,22500,1170000,"£ 1,262,688",F,28,Switzerland,Norwich,2020-2021,championship,,,,,,,,,,
Lukas Rupp,22500,1170000,"£ 1,262,688",M,29,Germany,Norwich,2020-2021,championship,,,,,,,,,,
Onel Hernandez,21923,1140000,"£ 1,230,311",F,27,Cuba,Norwich,2020-2021,championship,,,,,,,,,,
Matt Clarke,21923,1140000,"£ 1,230,311",D,24,England,Derby County,2020-2021,championship,,,,,,,,,,
Adama Diakhaby,21538,1120000,"£ 1,208,727",F,24,France,Huddersfield,2020-2021,championship,,,,,,,,,,
Sam Baldock,21538,1120000,"£ 1,208,727",F,31,England,Reading,2020-2021,championship,,,,,,,,,,
Kyle Naughton,20000,1040000,"£ 1,122,389",D,31,England,Swansea,2020-2021,championship,,,,,,,,,,
Tommy Smith,20000,1040000,"£ 1,122,389",D,28,England,Stoke City,2020-2021,championship,,,,,,,,,,
Lyle Taylor,20000,1040000,"£ 1,122,389",F,30,Montserrat,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Cameron Carter-Vickers,20000,1040000,"£ 1,122,389",D,22,United States,Bournemouth,2020-2021,championship,,,,,,,,,,
Cyrus Christie,20000,1040000,"£ 1,122,389",D,28,Ireland,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Paddy McNair,20000,1040000,"£ 1,122,389",M,25,Northern Ireland,Middlesbrough,2020-2021,championship,,,,,,,,,,
Moritz Bauer,20000,1040000,"£ 1,122,389",D,28,Austria,Stoke City,2020-2021,championship,,,,,,,,,,
Ryan Bennett,20000,1040000,"£ 1,122,389",D,30,England,Swansea,2020-2021,championship,,,,,,,,,,
Patrick Roberts,20000,1040000,"£ 1,122,389",F,23,England,Middlesbrough,2020-2021,championship,,,,,,,,,,
Mario Vrancic,20000,1040000,"£ 1,122,389",M,31,Bosnia-Herzegovina,Norwich,2020-2021,championship,,,,,,,,,,
Bryan Mbeumo,20000,1040000,"£ 1,122,389",F,21,France,Brentford,2020-2021,championship,,,,,,,,,,
James McClean,20000,1040000,"£ 1,122,389",M,31,Ireland,Stoke City,2020-2021,championship,,,,,,,,,,
Mathias Jensen,20000,1040000,"£ 1,122,389",M,24,Denmark,Brentford,2020-2021,championship,,,,,,,,,,
Danny Batth,20000,1040000,"£ 1,122,389",D,30,England,Stoke City,2020-2021,championship,,,,,,,,,,
Alex Pritchard,20000,1040000,"£ 1,122,389",F,27,England,Huddersfield,2020-2021,championship,,,,,,,,,,
Samba Sow,20000,1040000,"£ 1,122,389",M,31,Mali,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Henri Lansbury,20000,1040000,"£ 1,122,389",M,30,England,Bristol,2020-2021,championship,,,,,,,,,,
Patrick Roberts,20000,1040000,"£ 1,122,389",F,23,England,Derby County,2020-2021,championship,,,,,,,,,,
Kasey Palmer,20000,1040000,"£ 1,122,389",F,24,England,Bristol,2020-2021,championship,,,,,,,,,,
Moritz Leitner,20000,1040000,"£ 1,122,389",M,27,Germany,Norwich,2020-2021,championship,,,,,,,,,,
Nathan Baker,20000,1040000,"£ 1,122,389",D,29,England,Bristol,2020-2021,championship,,,,,,,,,,
Joost van Aken,20000,1040000,"£ 1,122,389",D,26,Netherlands,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Scott Sinclair,20000,1040000,"£ 1,122,389",F,31,England,Preston,2020-2021,championship,,,,,,,,,,
Krystian Bielik,20000,1040000,"£ 1,122,389",M,22,Poland,Derby County,2020-2021,championship,,,,,,,,,,
Adam Reach,20000,1040000,"£ 1,122,389",M,27,England,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Rafael,20000,1040000,"£ 1,122,389",K,30,Brazil,Reading,2020-2021,championship,,,,,,,,,,
Jordon Ibe,20000,1040000,"£ 1,122,389",F,24,England,Derby County,2020-2021,championship,,,,,,,,,,
Kasey Palmer,20000,1040000,"£ 1,122,389",F,23,England,Swansea,2020-2021,championship,,,,,,,,,,
Grant Hanley,19423,1010000,"£ 1,090,013",D,28,Scotland,Norwich,2020-2021,championship,,,,,,,,,,
Joe Bennett,19423,1010000,"£ 1,090,013",D,30,England,Cardiff,2020-2021,championship,,,,,,,,,,
Christoph Zimmermann,19423,1010000,"£ 1,090,013",D,27,Germany,Norwich,2020-2021,championship,,,,,,,,,,
Lee Tomlin,19038,990000,"£ 1,068,428",F,31,England,Cardiff,2020-2021,championship,,,,,,,,,,
Filip Krovinovic,18846,980000,"£ 1,057,636",F,25,Croatia,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Jonathan Hogg,18462,960000,"£ 1,036,052",M,31,England,Huddersfield,2020-2021,championship,,,,,,,,,,
Danny Ward,18462,960000,"£ 1,036,052",F,28,England,Huddersfield,2020-2021,championship,,,,,,,,,,
Famara Diedhiou,18462,960000,"£ 1,036,052",F,27,Senegal,Bristol,2020-2021,championship,,,,,,,,,,
Fouad Bachirou,18077,940000,"£ 1,014,467",M,30,Comoros,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Jack Marriott,18077,940000,"£ 1,014,467",F,26,England,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Filip Benkovic,18077,940000,"£ 1,014,467",D,23,Croatia,Cardiff,2020-2021,championship,,,,,,,,,,
Massimo Luongo,18077,940000,"£ 1,014,467",M,28,Australia,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Orjan Nyland,18000,936000,"£ 1,010,150",K,30,Norway,Norwich,2020-2021,championship,,,,,,,,,,
Joe Lolley,17500,910000,"£ 982,091",F,28,England,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Tommy Elphick,17500,910000,"£ 982,091",D,33,England,Huddersfield,2020-2021,championship,,,,,,,,,,
Wayne Routledge,17500,910000,"£ 982,091",F,35,England,Swansea,2020-2021,championship,,,,,,,,,,
Kenneth Zohore,17500,910000,"£ 982,091",F,26,Denmark,Millwall,2020-2021,championship,,,,,,,,,,
Neil Etheridge,17500,910000,"£ 982,091",K,30,Philippines,Birmingham,2020-2021,championship,,,,,,,,,,
George Saville,17500,910000,"£ 982,091",M,27,Northern Ireland,Middlesbrough,2020-2021,championship,,,,,,,,,,
Lee Gregory,17500,910000,"£ 982,091",F,32,England,Derby County,2020-2021,championship,,,,,,,,,,
Chuba Akpom,17500,910000,"£ 982,091",F,25,England,Middlesbrough,2020-2021,championship,,,,,,,,,,
Ivan Sunjic,17500,910000,"£ 982,091",M,24,Croatia,Birmingham,2020-2021,championship,,,,,,,,,,
Alexander Tettey,17500,910000,"£ 982,091",M,34,Norway,Norwich,2020-2021,championship,,,,,,,,,,
Lee Gregory,17500,910000,"£ 982,091",F,32,England,Stoke City,2020-2021,championship,,,,,,,,,,
Gaetan Bong,17500,910000,"£ 982,091",D,32,Cameroon,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Marc Navarro,17500,910000,"£ 982,091",D,25,Spain,Watford,2020-2021,championship,,,,,,,,,,
Ivan Sanchez,17500,910000,"£ 982,091",F,28,Spain,Birmingham,2020-2021,championship,,,,,,,,,,
Yakou Meite,17500,910000,"£ 982,091",F,24,Cote d'Ivoire,Reading,2020-2021,championship,,,,,,,,,,
Jayson Molumby,17308,900000,"£ 971,298",M,21,Ireland,Preston,2020-2021,championship,,,,,,,,,,
Sam Hutchinson,17308,900000,"£ 971,298",M,31,England,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
James Chester,16538,860000,"£ 928,130",D,31,Wales,Stoke City,2020-2021,championship,,,,,,,,,,
Nick Powell,16538,860000,"£ 928,130",F,26,England,Stoke City,2020-2021,championship,,,,,,,,,,
Rob Elliot,16346,850000,"£ 917,337",K,34,Ireland,Watford,2020-2021,championship,,,,,,,,,,
Adam Nagy,15577,810000,"£ 874,169",M,25,Hungary,Bristol,2020-2021,championship,,,,,,,,,,
Nathaniel Mendez-Laing,15385,800000,"£ 863,376",F,28,England,Middlesbrough,2020-2021,championship,,,,,,,,,,
Nahki Wells,15192,790000,"£ 852,584",F,30,Bermuda,Bristol,2020-2021,championship,,,,,,,,,,
Andres Prieto,15192,790000,"£ 852,584",K,27,Spain,Birmingham,2020-2021,championship,,,,,,,,,,
Lukas Jutkiewicz,15000,780000,"£ 841,792",F,31,England,Birmingham,2020-2021,championship,,,,,,,,,,
Isaac Mbenza,15000,780000,"£ 841,792",F,24,Belgium,Huddersfield,2020-2021,championship,,,,,,,,,,
Ethan Pinnock,15000,780000,"£ 841,792",D,27,England,Brentford,2020-2021,championship,,,,,,,,,,
Henrik Dalsgaard,15000,780000,"£ 841,792",D,31,Denmark,Brentford,2020-2021,championship,,,,,,,,,,
Juninho Bacuna,15000,780000,"£ 841,792",M,23,Curacao,Huddersfield,2020-2021,championship,,,,,,,,,,
Joshua Da Silva,15000,780000,"£ 841,792",M,21,England,Brentford,2020-2021,championship,,,,,,,,,,
Greg Cunningham,15000,780000,"£ 841,792",D,30,Ireland,Preston,2020-2021,championship,,,,,,,,,,
Saman Ghoddos,15000,780000,"£ 841,792",F,27,Iran,Brentford,2020-2021,championship,,,,,,,,,,
Sergi Canos,15000,780000,"£ 841,792",F,23,Spain,Brentford,2020-2021,championship,,,,,,,,,,
Adrian Mariappa,15000,780000,"£ 841,792",D,34,Jamaica,Bristol,2020-2021,championship,,,,,,,,,,
Ken Sema,15000,780000,"£ 841,792",M,27,Sweden,Watford,2020-2021,championship,,,,,,,,,,
Chris Martin,15000,780000,"£ 841,792",F,31,Scotland,Bristol,2020-2021,championship,,,,,,,,,,
Daniel Ayala,15000,780000,"£ 841,792",D,29,Spain,Blackburn,2020-2021,championship,,,,,,,,,,
Korey Smith,15000,780000,"£ 841,792",M,29,England,Swansea,2020-2021,championship,,,,,,,,,,
Josh Windass,15000,780000,"£ 841,792",F,26,England,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Aden Flint,15000,780000,"£ 841,792",D,31,England,Cardiff,2020-2021,championship,,,,,,,,,,
Tendayi Darikwa,15000,780000,"£ 841,792",D,28,Zimbabwe,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Greg Cunningham,15000,780000,"£ 841,792",D,29,Ireland,Cardiff,2020-2021,championship,,,,,,,,,,
Harry Arter,15000,780000,"£ 841,792",M,30,Ireland,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Scott McKenna,15000,780000,"£ 841,792",D,23,Scotland,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Aden Flint,15000,780000,"£ 841,792",D,31,England,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Kamil Jozwiak,15000,780000,"£ 841,792",F,22,Poland,Derby County,2020-2021,championship,,,,,,,,,,
Michael Hefele,15000,780000,"£ 841,792",D,30,Germany,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Sone Aluko,15000,780000,"£ 841,792",F,31,Nigeria,Reading,2020-2021,championship,,,,,,,,,,
Steven Fletcher,15000,780000,"£ 841,792",F,33,Scotland,Stoke City,2020-2021,championship,,,,,,,,,,
Sam Gallagher,15000,780000,"£ 841,792",F,25,England,Blackburn,2020-2021,championship,,,,,,,,,,
Connor Roberts,15000,780000,"£ 841,792",D,25,Wales,Swansea,2020-2021,championship,,,,,,,,,,
Lucas Joao,15000,780000,"£ 841,792",F,27,Portugal,Reading,2020-2021,championship,,,,,,,,,,
Lewis Holtby,15000,780000,"£ 841,792",F,30,Germany,Blackburn,2020-2021,championship,,,,,,,,,,
Kristian Pedersen,15000,780000,"£ 841,792",D,26,Denmark,Birmingham,2020-2021,championship,,,,,,,,,,
Morgan Gibbs-White,15000,780000,"£ 841,792",M,20,England,Swansea,2020-2021,championship,,,,,,,,,,
Jeremie Bela,15000,780000,"£ 841,792",F,27,Angola,Birmingham,2020-2021,championship,,,,,,,,,,
Harlee Dean,15000,780000,"£ 841,792",D,29,England,Birmingham,2020-2021,championship,,,,,,,,,,
Ryan Woods,15000,780000,"£ 841,792",M,26,England,Millwall,2020-2021,championship,,,,,,,,,,
Sol Bamba,14423,750000,"£ 809,415",D,35,Cote d'Ivoire,Cardiff,2020-2021,championship,,,,,,,,,,
Stewart Downing,14038,730000,"£ 787,831",M,36,England,Blackburn,2020-2021,championship,,,,,,,,,,
Adam Armstrong,14038,730000,"£ 787,831",F,23,England,Blackburn,2020-2021,championship,,,,,,,,,,
Will Vaulks,14038,730000,"£ 787,831",M,27,Wales,Cardiff,2020-2021,championship,,,,,,,,,,
Duncan Watmore,13846,720000,"£ 777,039",F,26,England,Middlesbrough,2020-2021,championship,,,,,,,,,,
Stipe Perica,13462,700000,"£ 755,454",F,25,Croatia,Watford,2020-2021,championship,,,,,,,,,,
Callum Paterson,13462,700000,"£ 755,454",F,26,Scotland,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Marc Roberts,13462,700000,"£ 755,454",D,30,England,Birmingham,2020-2021,championship,,,,,,,,,,
Neeskens Kebano,13462,700000,"£ 755,454",F,28,Democratic Republic of the Congo,Middlesbrough,2020-2021,championship,,,,,,,,,,
Philip Zinckernagel,13462,700000,"£ 755,454",F,26,Denmark,Watford,2020-2021,championship,,,,,,,,,,
Samy Morsy,13269,690000,"£ 744,662",M,29,Egypt,Middlesbrough,2020-2021,championship,,,,,,,,,,
Colin Kazim-Richards,13269,690000,"£ 744,662",F,34,Turkey,Derby County,2020-2021,championship,,,,,,,,,,
Jordan Hugill,13269,690000,"£ 744,662",F,28,England,Norwich,2020-2021,championship,,,,,,,,,,
George Puscas,13077,680000,"£ 733,870",F,24,Romania,Reading,2020-2021,championship,,,,,,,,,,
Thomas Kaminski,13077,680000,"£ 733,870",K,27,Belgium,Blackburn,2020-2021,championship,,,,,,,,,,
George Puscas,13077,680000,"£ 733,870",F,24,Romania,Reading,2020-2021,championship,,,,,,,,,,
Liam Lindsay,12500,650000,"£ 701,493",D,25,Scotland,Preston,2020-2021,championship,,,,,,,,,,
Adam Davies,12500,650000,"£ 701,493",K,28,Wales,Stoke City,2020-2021,championship,,,,,,,,,,
Izzy Brown,12500,650000,"£ 701,493",F,23,England,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Jake Bidwell,12500,650000,"£ 701,493",D,27,England,Swansea,2020-2021,championship,,,,,,,,,,
Tyrese Campbell,12500,650000,"£ 701,493",F,20,England,Stoke City,2020-2021,championship,,,,,,,,,,
Geoff Cameron,12500,650000,"£ 701,493",M,35,United States,QPR,2020-2021,championship,,,,,,,,,,
Richard Stearman,12500,650000,"£ 701,493",D,33,England,Huddersfield,2020-2021,championship,,,,,,,,,,
Joao Pedro,12500,650000,"£ 701,493",F,19,Brazil,Watford,2020-2021,championship,,,,,,,,,,
Liam Lindsay,12500,650000,"£ 701,493",D,25,Scotland,Stoke City,2020-2021,championship,,,,,,,,,,
Albert Adomah,12500,650000,"£ 701,493",F,32,Ghana,QPR,2020-2021,championship,,,,,,,,,,
Ovie Ejaria,12500,650000,"£ 701,493",F,22,England,Reading,2020-2021,championship,,,,,,,,,,
Jed Wallace,12500,650000,"£ 701,493",F,26,England,Millwall,2020-2021,championship,,,,,,,,,,
Matt Grimes,12500,650000,"£ 701,493",M,25,England,Swansea,2020-2021,championship,,,,,,,,,,
Fraizer Campbell,12500,650000,"£ 701,493",F,33,England,Huddersfield,2020-2021,championship,,,,,,,,,,
Rolando Aarons,12500,650000,"£ 701,493",F,25,England,Huddersfield,2020-2021,championship,,,,,,,,,,
Matt Smith,12500,650000,"£ 701,493",F,31,England,Millwall,2020-2021,championship,,,,,,,,,,
Mike te Wierik,12500,650000,"£ 701,493",D,28,Netherlands,Derby County,2020-2021,championship,,,,,,,,,,
Miguel Angel Guerrero,12500,650000,"£ 701,493",F,30,Spain,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Dejan Stojanovic,12500,650000,"£ 701,493",K,27,Austria,Middlesbrough,2020-2021,championship,,,,,,,,,,
Harry Wilson,12500,650000,"£ 701,493",F,23,Wales,Cardiff,2020-2021,championship,,,,,,,,,,
Joey Pelupessy,12500,650000,"£ 701,493",M,27,Netherlands,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Liam Palmer,12000,624000,"£ 673,434",D,29,Scotland,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Darragh Lenihan,11923,620000,"£ 669,117",D,26,Ireland,Blackburn,2020-2021,championship,,,,,,,,,,
Jonathan Williams,11923,620000,"£ 669,117",F,27,Wales,Cardiff,2020-2021,championship,,,,,,,,,,
Corry Evans,11923,620000,"£ 669,117",M,30,Northern Ireland,Blackburn,2020-2021,championship,,,,,,,,,,
Daniel Bentley,11923,620000,"£ 669,117",K,27,England,Bristol,2020-2021,championship,,,,,,,,,,
Connor Mahoney,11923,620000,"£ 669,117",F,23,England,Millwall,2020-2021,championship,,,,,,,,,,
Jack Hunt,11923,620000,"£ 669,117",D,29,England,Bristol,2020-2021,championship,,,,,,,,,,
Winston Reid,11923,620000,"£ 669,117",D,32,New Zealand,Brentford,2020-2021,championship,,,,,,,,,,
